station;station_name;latitude;longitude
310607;опхбнкфэе;57.64326859;39.8621788
310109;ъпнякюбкэ;57.60083389;39.87199402
311309;охыюкйхмн;57.81973648;37.36652756
311390;пндхнмнбн;57.81813812;37.62881088
311328;оспьебн;57.82459259;37.50683594
311600;мейнсг;57.90536499;38.06185532
311510;люякнбн;57.85005569;37.84795761
311101;дюмхкнб;58.18667603;40.18532944
311050;осрърхмн;57.99843597;40.1655426
310927;освйнбяйхи;57.85762405;40.1365242
312689;бюскнбн;57.80474854;39.34049988
312509;кнл;57.87132645;39.14892578
312320;охмъцх;57.91253662;39.05895233
312316;рнпнонбн;57.96068192;38.98151398
312301;пшахмяй-рнбюпмши;58.04108047;38.87750244
312104;пшахмяй-оюяяюфхпяйхи;58.04166794;38.83386612
312024;чпхмяйхи;58.02550125;38.72495651
312034;рхулемебн;;
311915;йнанярнбн;;
311807;бнкцю;57.95129395;38.4074707
316302;еплнкхмн;57.09624481;41.24691391
316209;бнкцнпевемяй;57.45657349;41.17650604
316016;днлнбхжш;57.15562439;41.20523453
316001;тсплюмнб;57.24512863;41.11485291
317201;аюбкемш;56.39952087;39.56147385
317108;йнкэвсцхмн;56.29033661;39.38354111
316919;йхопебн;;
316707;йхмеьлю;57.44120026;42.14421082
316603;бхвсцю;57.22169495;41.92435837
316507;цнпйхмн;57.15268326;41.60821915
316355;йюлхмяйхи;57.13520813;41.48347092
316336;ярпнйхмн;57.0577507;41.09328079
516200;рхлюьебяйюъ;45.62966156;38.94015121
516107;апчунбежйюъ;45.79776382;38.98775101
516018;опхднпнфмюъ;45.99190903;38.97774887
516003;йюмебяйюъ;46.08689499;38.94164276
515903;депебъмйнбйю;46.15270996;38.95844269
515804;юкаюьх;46.32697678;38.93723297
515710;ярюпнлхмяйюъ-рхлюьебяйюъ;46.50484085;39.0812912
515706;ярюпнлхмяйюъ-еияйюъ;46.50909805;39.05274582
515104;рхунмэйхи;45.91378403;40.02915955
515034;кесьйнбяйюъ;45.99884415;39.94829178
514807;яняшйю-пнярнбяйюъ;46.12502289;39.83658981
514703;йпшкнбяйюъ;46.28385162;39.80649567
514609;йхякъйнбйю;46.39395523;39.60429382
514402;йсыебйю;46.5541153;39.60944748
514309;яреомюъ;46.73604584;39.56100845
611015;яюднбюъ;48.6954422;44.42307663
611000;хл.люйяхлю цнпэйнцн;48.68151855;44.33682251
610648;ахпчгнбши;;
762304;бепеыюцхмн;58.07894135;54.65378571
519815;пюгзегд 103 йл;;
510191;акнйоняр 19 йл;;
510187;йюгювэъ;;
515388;бюяхкэебн-оерпнбяйюъ;46.93037033;39.46865082
515335;бшянвхмн;47.0353508;39.64040756
513541;юкейяюмдпнбйю;47.32430649;40.00729752
513503;мнбнвепйюяяй;47.40433121;40.11621094
513403;унрсмнй;47.44194412;40.095047
513306;кнйнлнрхбярпни;47.48374176;40.06918716
513202;оепяхюмнбйю;47.5222435;40.10284805
513109;йюлемнкнлмх;47.66482544;40.19433212
512801;ьюурмюъ;47.72716522;40.19813538
